,name,price
Telefon_52,"Telefon mobil Samsung Galaxy A34, Dual SIM, 6GB RAM, 128GB, 5G, Silver","1.428,42 Lei"
Telefon_53,"Telefon mobil Samsung Galaxy A04e, 32GB, 3GB RAM, 4G, Copper","469,00 Lei"
Telefon_54,"Telefon mobil Samsung Galaxy S23 Plus, Dual SIM, 8GB RAM, 256GB, 5G, Phantom Black","4.450,01 Lei"
Telefon_55,"Telefon mobil Xiaomi Redmi 12, 8Gb RAM, 256GB, Sky Blue","888,12 Lei"
Telefon_56,"Telefon mobil Motorola Moto g54, Power Edition, 256GB, 12GB RAM, 5G, Mint Green","1.199,99 Lei"
Telefon_57,"Telefon mobil Xiaomi Redmi Note 12S, 8GB RAM, 256GB, Onyx Black","929,99 Lei"
Telefon_58,"Telefon mobil OPPO Reno7 Lite, Dual SIM, 128GB, 8GB RAM, 5G, Cosmic Black","949,99 Lei"
Telefon_59,"Telefon mobil Motorola Moto e13, Dual SIM, 64GB, 2GB RAM, Autora Green","354,99 Lei"
Telefon_60,"Telefon mobil Motorola Moto g32, Dual SIM, 256GB, 8GB RAM, Mineral Grey","798,99 Lei"
Telefon_61,"Telefon mobil Motorola Moto g84, Dual SIM, 256GB, 12GB RAM, 5G, Marshmallow Blue","1.399,99 Lei"
Telefon_62,"Telefon mobil Nokia 105 (2023), Dual SIM, Charcoal","106,49 Lei"
Telefon_63,"Telefon mobil Xiaomi Redmi 12, 8Gb RAM, 256GB, Midnight Black","854,99 Lei"
Telefon_64,"Telefon mobil Motorola Moto g32, Dual SIM, 128GB, 6GB RAM, 4G, Mineral Grey","699,99 Lei"
Telefon_65,"Telefon mobil Nokia 106, Dual SIM, Negru","68,50 Lei"
Telefon_66,"Telefon mobil realme 11 Pro+, Dual SIM, 12GB RAM, 512GB, 5G, Astral Black","1.799,99 Lei"
Telefon_67,"Telefon mobil Motorola Moto g13, Dual SIM, 128GB, 4GB RAM, Lavander Blue","549,99 Lei"
Telefon_68,"Telefon mobil Motorola Moto E22, Dual SIM, 64GB, 4GB RAM, 4G, Astro Black","460,99 Lei"
Telefon_69,"Telefon mobil Samsung Galaxy A23, 4GB RAM, 64GB, 5G, Light Blue","1.060,23 Lei"
